Timestamp,"What area are you employed in? (If retired, say what area you used to work in)",What field do you work in?,What is your level of familiarity with: [Linear models],What is your level of familiarity with: [Generalized linear models],What is your level of familiarity with: [Mixed models],What is your level of familiarity with: [Generalized additive models],What is your level of familiarity with: [Machine learning/AI],What is your level of familiarity with: [Math stats (likelihood etc.)],What is your level of familiarity with: [Numerical computation],What is your level of familiarity with: [Linear algebra],What is your level of familiarity with: [Bayesian statistics],What software do you use for statistical modeling? [lme4 (R)],What software do you use for statistical modeling? [glmmTMB (R)],What software do you use for statistical modeling? [Stan/brms/rstanarm (R)],What software do you use for statistical modeling? [other R mixed model packages],What software do you use for statistical modeling? [Stata],What software do you use for statistical modeling? [SAS],What software do you use for statistical modeling? [HLM/MLWiN],What software do you use for statistical modeling? [Julia],What software do you use for statistical modeling? [Python],What are you hoping to get out of this course?,Do you have any other requests or comments in advance of the lecture?
11/11/2025 10:34:52,Academia,business,advanced,advanced,advanced,a bit,a bit,some,none,a bit,a bit,frequently,sometimes,never,sometimes,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks",
11/11/2025 10:35:09,Industry,biomedical,expert,advanced,some,a bit,a bit,advanced,advanced,advanced,a bit,sometimes,sometimes,never,sometimes,,sometimes,,,,"Statistical tips and tricks, Computational tips and tricks",
11/11/2025 10:36:55,Academia,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,some,some,some,some,advanced,some,some,sometimes,sometimes,,sometimes,,,,,,"Overview/introduction to mixed models, Statistical tips and tricks, Computational tips and tricks, Reference material for teaching and applications in ecology",Looking forward to the seminar
11/11/2025 10:45:41,Academia,statistics/statistical consulting,advanced,advanced,some,none,a bit,some,none,advanced,a bit,sometimes,never,never,never,never,frequently,never,never,never,"Overview/introduction to mixed models, Statistical tips and tricks",
11/11/2025 10:50:40,Consulting,"Risk Analysis, public health",advanced,advanced,some,some,a bit,advanced,some,none,some,sometimes,,sometimes,sometimes,never,never,never,sometimes,sometimes,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/11/2025 10:52:13,Academia,public health,advanced,advanced,some,none,none,some,none,some,a bit,sometimes,sometimes,never,sometimes,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks, Advanced computation, Advanced theory",
11/11/2025 10:55:11,Self-employed,economics,expert,expert,,,some,advanced,some,some,some,,,,never,never,,,,,Overview/introduction to mixed models,
11/11/2025 10:55:52,Non-governmental organization,population biology (ecology/evolution/inf. disease epidemiology),advanced,advanced,advanced,a bit,none,a bit,none,a bit,a bit,frequently,frequently,sometimes,never,never,never,never,never,never,"Statistical tips and tricks, Advanced theory, I am looking for a workflow/protocol, including best practices for model construction, validation, and reporting and also decision-trees for commonly encountered problems when using messy real-world data ",Any valuable sources and materials that could be provided for topics that are directly relevant but outside the scope of our seminar would be really appreciated.
11/11/2025 10:58:10,Industry,bioinformatics/genomics,expert,some,some,some,advanced,advanced,expert,a bit,some,never,never,never,never,never,never,never,never,frequently,"Statistical tips and tricks, Computational tips and tricks, Advanced computation",
11/11/2025 11:02:32,Academia,psychology/linguistics/cognitive science,advanced,some,advanced,none,a bit,advanced,advanced,some,some,sometimes,never,never,never,never,never,never,never,never,"Statistical tips and tricks, Computational tips and tricks",
